case_id,activity,timestamp,resource,lifecycle,outcome,service,citizen_id,cost_minor,duration_seconds,status,source,parking_lot_id,vehicle_plate
PARK-0001,Register Parking Entry,2026-08-01T07:37:00Z,parking-billing-service,complete,success,parking-billing,CITIZEN-001,,,in_progress,simulated,LOT-CENTRAL-001,SU 0001
PARK-0001,Close Parking Session,2026-08-01T13:22:00Z,parking-billing-service,complete,success,parking-billing,CITIZEN-001,,20700,in_progress,simulated,LOT-CENTRAL-001,SU 0001
PARK-0001,Calculate Parking Fee,2026-08-01T13:22:05Z,parking-billing-service,complete,success,parking-billing,CITIZEN-001,2400,20700,in_progress,simulated,LOT-CENTRAL-001,SU 0001
PARK-0001,Initiate Payment,2026-08-01T13:22:08Z,parking-billing-service,complete,success,parking-billing,CITIZEN-001,2400,,in_progress,simulated,LOT-CENTRAL-001,SU 0001
PARK-0001,Confirm Payment,2026-08-01T13:22:12Z,parking-billing-service,complete,success,parking-billing,CITIZEN-001,2400,,paid,simulated,LOT-CENTRAL-001,SU 0001
PARK-0002,Register Parking Entry,2026-08-01T08:14:00Z,parking-billing-service,complete,success,parking-billing,CITIZEN-002,,,in_progress,simulated,LOT-HARBOUR-002,SU 0002
PARK-0002,Close Parking Session,2026-08-01T10:12:00Z,parking-billing-service,complete,success,parking-billing,CITIZEN-002,,7080,in_progress,simulated,LOT-HARBOUR-002,SU 0002
PARK-0002,Calculate Parking Fee,2026-08-01T10:12:10Z,parking-billing-service,complete,success,parking-billing,CITIZEN-002,800,7080,in_progress,simulated,LOT-HARBOUR-002,SU 0002
PARK-0002,Initiate Payment,2026-08-01T10:12:23Z,parking-billing-service,complete,success,parking-billing,CITIZEN-002,800,,in_progress,simulated,LOT-HARBOUR-002,SU 0002
PARK-0002,Confirm Payment,2026-08-01T10:12:36Z,parking-billing-service,complete,success,parking-billing,CITIZEN-002,800,,paid,simulated,LOT-HARBOUR-002,SU 0002
PARK-0003,Register Parking Entry,2026-08-01T08:51:00Z,parking-billing-service,complete,success,parking-billing,CITIZEN-003,,,in_progress,simulated,LOT-LIBRARY-003,SU 0003
PARK-0003,Close Parking Session,2026-08-01T09:20:00Z,parking-billing-service,complete,success,parking-billing,CITIZEN-003,,1740,in_progress,simulated,LOT-LIBRARY-003,SU 0003
PARK-0003,Calculate Parking Fee,2026-08-01T09:20:01Z,parking-billing-service,complete,success,parking-billing,CITIZEN-003,400,1740,in_progress,simulated,LOT-LIBRARY-003,SU 0003
PARK-0003,Initiate Payment,2026-08-01T09:20:13Z,parking-billing-service,complete,success,parking-billing,CITIZEN-003,400,,in_progress,simulated,LOT-LIBRARY-003,SU 0003
PARK-0003,Confirm Payment,2026-08-01T09:20:20Z,parking-billing-service,complete,success,parking-billing,CITIZEN-003,400,,paid,simulated,LOT-LIBRARY-003,SU 0003
PARK-0004,Register Parking Entry,2026-08-01T09:28:00Z,parking-billing-service,complete,success,parking-billing,CITIZEN-004,,,in_progress,simulated,LOT-CENTRAL-001,SU 0004
PARK-0004,Close Parking Session,2026-08-01T11:34:00Z,parking-billing-service,complete,success,parking-billing,CITIZEN-004,,7560,in_progress,simulated,LOT-CENTRAL-001,SU 0004
PARK-0004,Calculate Parking Fee,2026-08-01T11:34:08Z,parking-billing-service,complete,success,parking-billing,CITIZEN-004,1200,7560,in_progress,simulated,LOT-CENTRAL-001,SU 0004
PARK-0004,Initiate Payment,2026-08-01T11:34:22Z,parking-billing-service,complete,success,parking-billing,CITIZEN-004,1200,,in_progress,simulated,LOT-CENTRAL-001,SU 0004
PARK-0004,Confirm Payment,2026-08-01T11:34:36Z,parking-billing-service,complete,success,parking-billing,CITIZEN-004,1200,,paid,simulated,LOT-CENTRAL-001,SU 0004
PARK-0005,Register Parking Entry,2026-08-01T10:05:00Z,parking-billing-service,complete,success,parking-billing,CITIZEN-005,,,in_progress,simulated,LOT-HARBOUR-002,SU 0005
PARK-0005,Close Parking Session,2026-08-01T12:26:00Z,parking-billing-service,complete,success,parking-billing,CITIZEN-005,,8460,in_progress,simulated,LOT-HARBOUR-002,SU 0005
PARK-0005,Calculate Parking Fee,2026-08-01T12:26:18Z,parking-billing-service,complete,success,parking-billing,CITIZEN-005,1200,8460,in_progress,simulated,LOT-HARBOUR-002,SU 0005
PARK-0005,Initiate Payment,2026-08-01T12:26:26Z,parking-billing-service,complete,success,parking-billing,CITIZEN-005,1200,,in_progress,simulated,LOT-HARBOUR-002,SU 0005
PARK-0005,Confirm Payment,2026-08-01T12:26:42Z,parking-billing-service,complete,success,parking-billing,CITIZEN-005,1200,,paid,simulated,LOT-HARBOUR-002,SU 0005
PARK-0006,Register Parking Entry,2026-08-01T10:42:00Z,parking-billing-service,complete,success,parking-billing,CITIZEN-006,,,in_progress,simulated,LOT-LIBRARY-003,SU 0006
PARK-0006,Close Parking Session,2026-08-01T11:51:00Z,parking-billing-service,complete,success,parking-billing,CITIZEN-006,,4140,in_progress,simulated,LOT-LIBRARY-003,SU 0006
PARK-0006,Calculate Parking Fee,2026-08-01T11:51:01Z,parking-billing-service,complete,success,parking-billing,CITIZEN-006,800,4140,in_progress,simulated,LOT-LIBRARY-003,SU 0006
PARK-0006,Initiate Payment,2026-08-01T11:51:19Z,parking-billing-service,complete,success,parking-billing,CITIZEN-006,800,,in_progress,simulated,LOT-LIBRARY-003,SU 0006
PARK-0006,Confirm Payment,2026-08-01T11:51:37Z,parking-billing-service,complete,success,parking-billing,CITIZEN-006,800,,paid,simulated,LOT-LIBRARY-003,SU 0006
PARK-0007,Register Parking Entry,2026-08-01T11:19:00Z,parking-billing-service,complete,success,parking-billing,CITIZEN-007,,,in_progress,simulated,LOT-CENTRAL-001,SU 0007
PARK-0007,Close Parking Session,2026-08-01T11:56:00Z,parking-billing-service,complete,success,parking-billing,CITIZEN-007,,2220,in_progress,simulated,LOT-CENTRAL-001,SU 0007
PARK-0007,Calculate Parking Fee,2026-08-01T11:56:06Z,parking-billing-service,complete,success,parking-billing,CITIZEN-007,400,2220,in_progress,simulated,LOT-CENTRAL-001,SU 0007
PARK-0007,Initiate Payment,2026-08-01T11:56:11Z,parking-billing-service,complete,success,parking-billing,CITIZEN-007,400,,in_progress,simulated,LOT-CENTRAL-001,SU 0007
PARK-0007,Reject Payment,2026-08-01T11:56:17Z,parking-billing-service,complete,failure,parking-billing,CITIZEN-007,400,,payment_failed,simulated,LOT-CENTRAL-001,SU 0007
PARK-0008,Register Parking Entry,2026-08-01T11:56:00Z,parking-billing-service,complete,success,parking-billing,CITIZEN-008,,,in_progress,simulated,LOT-HARBOUR-002,SU 0008
